Entity,Code,Year,Blood lead level in adults,time
Bangladesh,BGD,2019,3.9,2019
Benin,BEN,2019,4.56,2019
Brazil,BRA,2019,3.43,2019
China,CHN,2019,3.47,2019
Colombia,COL,2019,0.98,2019
Democratic Republic of Congo,COD,2019,5.82,2019
Egypt,EGY,2019,10.36,2019
Ethiopia,ETH,2019,3.92,2019
Ghana,GHA,2019,1.45,2019
Grenada,GRD,2019,1.17,2019
India,IND,2019,4.42,2019
Indonesia,IDN,2019,2.11,2019
Iran,IRN,2019,6.03,2019
Iraq,IRQ,2019,8.47,2019
Jamaica,JAM,2019,0.83,2019
Jordan,JOR,2019,3.16,2019
Kosovo,OWID_KOS,2019,1.7,2019
Lebanon,LBN,2019,4.35,2019
Malaysia,MYS,2019,2.6,2019
Mexico,MEX,2019,3.39,2019
Mongolia,MNG,2019,3.1,2019
Morocco,MAR,2019,4.8,2019
Nepal,NPL,2019,4.44,2019
Nigeria,NGA,2019,7.76,2019
North Macedonia,MKD,2019,2.41,2019
Pakistan,PAK,2019,11.36,2019
Russia,RUS,2019,1.56,2019
Serbia,SRB,2019,1.27,2019
South Africa,ZAF,2019,1.57,2019
Sri Lanka,LKA,2019,4.37,2019
Sudan,SDN,2019,0.39,2019
Tanzania,TZA,2019,4.71,2019
Thailand,THA,2019,4.89,2019
Tunisia,TUN,2019,9.36,2019
Turkey,TUR,2019,2.51,2019
Ukraine,UKR,2019,1.96,2019
Vietnam,VNM,2019,3.9,2019
