Entity,Code,Year,share_paints_exceeding_600ppm_lead
Argentina,ARG,2017,12
Armenia,ARM,2016,57
Azerbaijan,AZE,2013,67
Bangladesh,BGD,2021,25
Belarus,BLR,2016,62
Benin,BEN,2017,71
Brazil,BRA,2014,30
Cameroon,CMR,2017,40
Chile,CHL,2013,4
China,CHN,2016,50
Colombia,COL,2016,64
Cote d'Ivoire,CIV,2017,59
Ecuador,ECU,2009,60
Egypt,EGY,2017,26
Ethiopia,ETH,2017,72
Gambia,GMB,2018,59
Georgia,GEO,2016,32
Ghana,GHA,2013,28
Guinea,GIN,2017,6
India,IND,2020,78
Indonesia,IDN,2021,71
Iraq,IRQ,2018,28
Jamaica,JAM,2018,0
Jordan,JOR,2012,12
Kazakhstan,KAZ,2016,53
Kenya,KEN,2017,55
Kyrgyzstan,KGZ,2016,55
Lebanon,LBN,2015,73
Malaysia,MYS,2016,41
Mexico,MEX,2018,44
Moldova,MDA,2016,36
Mongolia,MNG,2017,48
Morocco,MAR,2017,39
Mozambique,MOZ,2017,25
Nepal,NPL,2021,33
Nigeria,NGA,2017,72
Pakistan,PAK,2017,55
Paraguay,PRY,2015,27
Peru,PER,2009,80
Philippines,PHL,2021,22
Russia,RUS,2016,49
Senegal,SEN,2009,76
Seychelles,SYC,2009,61
Singapore,SGP,2009,37
South Africa,ZAF,2009,34
South Korea,KOR,2019,13
Sri Lanka,LKA,2021,3
Sudan,SDN,2017,56
Taiwan,TWN,2016,66
Tajikistan,TJK,2016,82
Tanzania,TZA,2017,37
Thailand,THA,2015,58
Togo,TGO,2017,15
Tunisia,TUN,2013,63
Uganda,UGA,2017,57
Ukraine,UKR,2016,26
Uruguay,URY,2013,0
Vietnam,VNM,2021,18
Zambia,ZMB,2017,33
